Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,2.179059041,1.548571744,1.389337063,1.215720575,1.032840919,0.862183824,0.388846828,-0.085719333,-0.237371851,-0.378263817,-0.491851537,0.066286513,0.862803525,1.110629292,1.137966447,0.784201939,0.443510323,0.443171752,0.433152992,0.420043588,0.555730484,0.79854079,0.894334781,0.768049326,0.47259361,0.116251147,-0.159686243,-0.183255475,0.409531473,1.712906785,3.222414529,3.372864192,3.04193161,3.196029146,3.084060978,3.025788936,3.027358768,3.004804525,2.934412926,2.539234444,1.768756621,1.194718055,0.997395547,0.90098923,1.003077184,1.181565546,1.227710815,1.241397377,1.233231321,1.13154104,0.93935591,0.810230588,0.749301039,0.69161526,0.637959162,0.590062487,0.537295706,0.494795263,0.451969659,0.134255302,-0.045044623,-0.086392283,-0.157952666
Africa Eastern and Southern,AFE,2.660180116,2.732633115,2.753248272,2.806914972,2.840786878,2.813609491,2.830505274,2.881588517,2.89853203,2.911526135,2.914855876,2.870881427,2.903938318,2.986295645,2.982409095,2.969809905,2.884096015,3.012732832,3.142593974,2.965406236,3.017564028,3.130762163,3.012800811,2.939088114,2.970292947,3.022263838,3.062816607,2.919181869,2.844887621,2.911012866,2.792410358,2.633682259,2.658526402,2.619954544,2.62710703,2.693097728,2.580384122,2.514653934,2.559662482,2.583579242,2.5899606,2.606598026,2.617764284,2.64496843,2.666241587,2.702521121,2.747108851,2.765815976,2.755745298,2.757929142,2.738184845,2.740404834,2.780206834,2.774990291,2.802585821,2.72815853,2.655671599,2.688371428,2.691134381,2.678183716,2.607471694,2.543756525,2.531586712
Afghanistan,AFG,1.925951611,2.014878863,2.078996627,2.139650844,2.216006921,2.253524012,2.29263789,2.347350643,2.378916547,2.433182625,2.415369174,2.429395693,2.524421237,2.513006529,2.393287152,2.179517436,2.086951126,1.96337689,0.366492805,-3.924171694,-11.27532433,-10.05300625,-1.365707744,2.894334707,2.587696933,-0.608560873,-1.210190398,0.586318312,2.751877293,0.202433956,0.469880407,11.52252442,14.96445487,9.864262066,6.046535552,4.10302205,3.910605219,3.882930605,4.077879485,1.443803024,0.742516834,6.449321478,7.541018965,3.933177688,3.576508004,4.139678035,1.793195727,2.002333262,3.561288374,2.894904104,3.689508302,4.077627729,3.466788304,3.657576065,3.121341229,2.581549399,2.866492148,2.885207973,2.908529093,3.134746908,2.851357654,2.534498317,2.665628202
Africa Western and Central,AFW,2.115789118,2.145723059,2.190826851,2.211359996,2.242567451,2.27281641,2.275720627,2.295953184,2.323997548,2.368198332,2.397567937,2.435339765,2.51174735,2.597046806,2.683550994,2.697073361,2.735731822,2.81403788,2.850410239,2.845010772,2.849793534,2.895500291,2.720131076,2.615808644,2.705308376,2.711539037,2.713601862,2.731060658,2.766997853,2.654931025,2.628368798,2.730420957,2.671362645,2.630609706,2.693235279,2.687499414,2.689028905,2.721940716,2.706291307,2.749599719,2.799653523,2.811452689,2.816480646,2.828642233,2.84121122,2.832779745,2.828409299,2.832916151,2.844037202,2.846535741,2.848825772,2.812850935,2.761838977,2.750730568,2.723317337,2.71305851,2.706266076,2.669238668,2.633982069,2.61564614,2.573377402,2.539799442,2.54086409
Angola,AGO,1.558355041,1.46073837,1.410425309,1.301745176,1.111040641,0.875806323,0.696698092,0.695984736,1.020354649,1.694525767,2.414339108,2.993131941,3.299374345,3.352359746,3.328323923,3.274072846,3.317448684,3.398701248,3.435447522,3.503984655,3.554422209,3.592194885,3.617136533,3.609872412,3.603751009,3.565856035,3.438673736,3.367042777,3.37135095,3.345143647,3.326137174,3.248850023,3.161546668,3.198432538,3.289675826,3.330132498,3.335153782,3.279067748,3.226447853,3.244121467,3.285217233,3.335131608,3.413321212,3.506388824,3.557658989,3.592013313,3.639589304,3.670909202,3.693482476,3.734797658,3.758796385,3.758702522,3.735525429,3.684428967,3.617677518,3.586211007,3.550986636,3.464456984,3.395277792,3.268348405,3.166029862,3.096752671,3.03099631
Albania,ALB,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.574206959,-0.926918062,-1.21579032,-1.148417638
Andorra,AND,7.868139245,7.521207211,7.223197559,6.94151153,6.653121525,6.997054475,7.920681282,8.132678408,7.716052984,7.369749014,7.103174491,6.842365721,6.613314516,6.391571009,6.105208292,5.8118718,5.495797153,5.117373572,4.701387381,4.212628094,3.791192066,4.26339621,4.642108899,4.234833204,3.786939304,4.017808391,4.355042553,4.151116603,3.919824976,3.66933416,3.422258136,3.281077167,3.217412672,3.130221536,3.051097802,1.918610889,0.830563112,0.776176626,0.716903736,0.670960074,2.573377665,4.369371501,4.225669436,4.012736713,3.691435273,0.493606006,-2.592496934,-2.740359388,-2.939367223,-3.209994187,-1.340053554,0.630034575,0.497261876,0.355274942,0.17437769,1.10060299,1.772182713,1.580147087,1.757491257,1.761891295,1.702288225,0.994607149,0.3301819
Arab World,ARB,2.571718349,2.619387933,2.670051048,2.701945943,2.726861657,2.771814424,2.838558591,2.870968689,2.879359374,2.867173225,2.861131221,2.878077285,2.916094803,2.989373294,3.191298546,3.568959092,3.504398032,3.146300924,3.363971217,3.513750705,3.226781403,3.159203093,3.222302386,3.156908918,3.04730602,3.041280753,2.960436367,2.674898074,2.60771115,3.151268683,2.174961331,2.495813151,2.703280235,2.716913672,2.486878866,2.404352806,2.368798182,2.318572882,2.286682257,2.285934317,2.245601501,2.216707482,2.184676519,2.177793578,2.333327042,2.540658428,2.675717433,2.705857514,2.632332267,2.437844933,2.174204883,2.157196193,2.299823498,2.259225675,2.155966313,2.109697128,2.068738846,2.096194015,2.062686901,1.757899007,1.623335187,1.78833854,1.847954548
United Arab Emirates,ARE,5.509939172,5.447405291,5.31635595,5.150823122,5.009569906,4.891153541,4.758689057,10.96344564,17.03997437,16.29547485,14.47564996,13.00683493,11.808203,10.8105044,9.944740645,12.24485049,14.0550881,13.02951516,12.06128593,10.99634682,8.152356145,5.969578635,5.798180645,5.560088354,5.299493162,6.262840241,7.04566355,6.61502193,6.22605569,5.869033185,5.539656399,5.230675559,4.934870583,4.646391359,4.40817687,5.543847098,6.521910679,6.178188555,5.864514558,5.580387001,5.317075961,5.064872584,4.829342685,4.609526744,6.955726898,13.48367209,18.12798398,17.399086,13.4229206,5.939765366,1.095562713,1.041344608,0.997641826,0.956397624,0.911950036,0.863868923,0.819744473,0.789450108,0.779087177,0.817694386,0.834812788,0.808075151,0.799054784
Argentina,ARG,1.613029359,1.629281873,1.621661393,1.599523187,1.577532978,1.572143647,1.567334924,1.552056952,1.541543922,1.567299648,1.58358304,1.594814785,1.643261692,1.700707098,1.659273963,1.58995977,1.598112286,1.605462611,1.600658911,1.584918714,1.580609601,1.573286207,1.558782118,1.537152775,1.513402899,1.511327825,1.510974182,1.508086994,1.487655378,1.456402515,1.424063156,1.387434642,1.357965791,1.347023786,1.317554245,1.260410588,1.198264474,1.158177636,1.152043854,1.133277022,1.09917146,1.07353835,1.032360859,1.015336684,1.033476224,1.034671736,1.006297331,0.992294094,1.014283893,0.255582398,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991,0.947490959,0.925835474,0.903771167
